timestamp_utc,item_id,item_name,region,min_unit_price_copper,total_quantity,num_auctions
2026-07-19T11:02:47+00:00,243606,Dawn Crystal,eu,5323200,6010,637
2026-07-19T18:51:24+00:00,243605,Dawn Crystal,eu,4293100,6325,294
2026-07-19T18:51:24+00:00,243606,Dawn Crystal,eu,5191000,5910,588
2026-07-20T12:07:47+00:00,243605,Dawn Crystal,eu,4412700,5034,233
2026-07-20T12:07:47+00:00,243606,Dawn Crystal,eu,5672800,3347,440
2026-07-20T19:25:05+00:00,243605,Dawn Crystal,eu,4205900,6701,324
2026-07-20T19:25:05+00:00,243606,Dawn Crystal,eu,5771800,8290,888
2026-07-21T11:40:53+00:00,243605,Dawn Crystal,eu,4436900,3729,333
2026-07-21T11:40:53+00:00,243606,Dawn Crystal,eu,5287800,5806,776
2026-07-21T19:03:21+00:00,243605,Dawn Crystal,eu,4070000,6294,621
2026-07-21T19:03:21+00:00,243606,Dawn Crystal,eu,5755000,4178,638
2026-07-22T11:40:57+00:00,243605,Dawn Crystal,eu,4305500,3107,390
2026-07-22T11:40:57+00:00,243606,Dawn Crystal,eu,5629900,6706,630
2026-07-22T18:57:13+00:00,243605,Dawn Crystal,eu,4140000,5074,609
2026-07-22T18:57:13+00:00,243606,Dawn Crystal,eu,5504000,6889,732
2026-07-23T11:44:40+00:00,243605,Dawn Crystal,eu,4459300,3558,272
2026-07-23T11:44:40+00:00,243606,Dawn Crystal,eu,5620000,4107,330
2026-07-23T18:59:27+00:00,243605,Dawn Crystal,eu,4194400,4860,439
2026-07-23T18:59:27+00:00,243606,Dawn Crystal,eu,5380000,7081,769
2026-07-24T11:29:08+00:00,243605,Dawn Crystal,eu,4064200,2642,84
2026-07-24T11:29:08+00:00,243606,Dawn Crystal,eu,5337600,3733,307
2026-07-24T19:12:15+00:00,243605,Dawn Crystal,eu,4190000,4458,504
2026-07-24T19:12:15+00:00,243606,Dawn Crystal,eu,5500000,5318,450
2026-07-25T11:00:11+00:00,243605,Dawn Crystal,eu,4301900,4874,356
2026-07-25T11:00:11+00:00,243606,Dawn Crystal,eu,5099900,9457,1157
2026-07-25T18:52:40+00:00,243605,Dawn Crystal,eu,4389300,2817,211
2026-07-25T18:52:40+00:00,243606,Dawn Crystal,eu,5999100,2256,133
2026-07-26T11:12:40+00:00,243605,Dawn Crystal,eu,4708500,2448,72
2026-07-26T11:12:40+00:00,243606,Dawn Crystal,eu,5989800,5270,511
2026-07-26T18:56:27+00:00,243605,Dawn Crystal,eu,4379800,6368,738
2026-07-26T18:56:27+00:00,243606,Dawn Crystal,eu,5600000,8157,900
2026-07-27T12:49:00+00:00,243605,Dawn Crystal,eu,4543800,3899,320
2026-07-27T12:49:00+00:00,243606,Dawn Crystal,eu,5897900,12116,852
2026-07-27T19:12:40+00:00,243605,Dawn Crystal,eu,4200000,3859,302
2026-07-27T19:12:40+00:00,243606,Dawn Crystal,eu,6550500,8224,426
2026-07-28T11:49:16+00:00,243605,Dawn Crystal,eu,4680600,2981,288
2026-07-28T11:49:16+00:00,243606,Dawn Crystal,eu,6403300,4282,222
2026-07-28T19:07:35+00:00,243605,Dawn Crystal,eu,4400000,6660,491
2026-07-28T19:07:35+00:00,243606,Dawn Crystal,eu,6643200,1872,184
2026-07-29T11:52:46+00:00,243605,Dawn Crystal,eu,4302300,3385,244
2026-07-29T11:52:46+00:00,243606,Dawn Crystal,eu,6306500,4889,448
2026-07-29T18:57:16+00:00,243605,Dawn Crystal,eu,4399900,3597,531
2026-07-29T18:57:16+00:00,243606,Dawn Crystal,eu,6340000,5478,585
2026-07-30T11:44:40+00:00,243605,Dawn Crystal,eu,4894900,787,114
2026-07-30T11:44:40+00:00,243606,Dawn Crystal,eu,6279500,5045,578
2026-07-30T19:09:35+00:00,243605,Dawn Crystal,eu,4741800,4150,540
2026-07-30T19:09:35+00:00,243606,Dawn Crystal,eu,6383200,5063,470
2026-07-31T11:51:10+00:00,243605,Dawn Crystal,eu,4750000,1894,354
2026-07-31T11:51:10+00:00,243606,Dawn Crystal,eu,6270000,5285,501
2026-07-31T19:07:50+00:00,243605,Dawn Crystal,eu,4294900,2418,423
2026-07-31T19:07:50+00:00,243606,Dawn Crystal,eu,6289700,6069,396
2026-08-01T11:09:19+00:00,243605,Dawn Crystal,eu,4472100,4126,478
2026-08-01T11:09:19+00:00,243606,Dawn Crystal,eu,6259700,6060,447
2026-08-01T18:54:28+00:00,243605,Dawn Crystal,eu,4295500,4326,491
2026-08-01T18:54:28+00:00,243606,Dawn Crystal,eu,6095400,7336,713
2026-08-02T11:10:10+00:00,243605,Dawn Crystal,eu,4270300,6555,633
2026-08-02T11:10:10+00:00,243606,Dawn Crystal,eu,5900000,6634,689
2026-08-02T18:54:57+00:00,243605,Dawn Crystal,eu,4969000,5577,383
2026-08-02T18:54:57+00:00,243606,Dawn Crystal,eu,7207200,4661,403
2026-08-03T12:47:47+00:00,243605,Dawn Crystal,eu,5200000,2566,311
2026-08-03T12:47:47+00:00,243606,Dawn Crystal,eu,6004900,10883,1209
2026-08-03T19:18:43+00:00,243605,Dawn Crystal,eu,4550000,5100,769
2026-08-03T19:18:43+00:00,243606,Dawn Crystal,eu,6199900,7311,943
2026-08-04T11:53:54+00:00,243605,Dawn Crystal,eu,5622200,2733,226
2026-08-04T11:53:54+00:00,243606,Dawn Crystal,eu,6539700,5281,520
2026-08-04T19:18:18+00:00,243605,Dawn Crystal,eu,5050000,5795,746
2026-08-04T19:18:18+00:00,243606,Dawn Crystal,eu,6771700,4042,317
2026-08-05T11:50:09+00:00,243605,Dawn Crystal,eu,4399900,7736,908
2026-08-05T11:50:09+00:00,243606,Dawn Crystal,eu,6599400,4186,329
2026-08-05T19:14:26+00:00,243605,Dawn Crystal,eu,4420700,8681,1042
2026-08-05T19:14:26+00:00,243606,Dawn Crystal,eu,6078700,7906,862
2026-08-06T11:55:39+00:00,243605,Dawn Crystal,eu,4299900,8139,637
2026-08-06T11:55:39+00:00,243606,Dawn Crystal,eu,6193700,7335,794
2026-08-06T23:49:32+00:00,243605,Dawn Crystal,eu,4250000,9887,644
2026-08-06T23:49:32+00:00,243606,Dawn Crystal,eu,6099700,6835,673
2026-08-07T10:40:47+00:00,243605,Dawn Crystal,eu,4720000,7290,203
2026-08-07T10:40:47+00:00,243606,Dawn Crystal,eu,6248700,5963,565
2026-08-07T18:39:47+00:00,243605,Dawn Crystal,eu,4100100,9516,639
2026-08-07T18:39:47+00:00,243606,Dawn Crystal,eu,6135900,5011,403
2026-08-08T10:19:28+00:00,243605,Dawn Crystal,eu,4299800,5230,364
2026-08-08T10:19:28+00:00,243606,Dawn Crystal,eu,6009700,4940,337
2026-08-08T18:22:01+00:00,243605,Dawn Crystal,eu,4315100,5225,389
2026-08-08T18:22:01+00:00,243606,Dawn Crystal,eu,6170000,4349,318
2026-08-09T10:21:04+00:00,243605,Dawn Crystal,eu,4540000,8052,318
2026-08-09T10:21:04+00:00,243606,Dawn Crystal,eu,6689700,4112,361
2026-08-09T18:24:44+00:00,243605,Dawn Crystal,eu,4000000,12324,787
2026-08-09T18:24:44+00:00,243606,Dawn Crystal,eu,6179400,5423,581
2026-08-10T10:56:01+00:00,243605,Dawn Crystal,eu,4256600,8878,475
2026-08-10T10:56:01+00:00,243606,Dawn Crystal,eu,6078500,7002,466
2026-08-10T18:42:18+00:00,243605,Dawn Crystal,eu,3935000,11104,503
2026-08-10T18:42:18+00:00,243606,Dawn Crystal,eu,5989800,7086,647
2026-08-11T10:40:30+00:00,243605,Dawn Crystal,eu,4099800,7159,331
2026-08-11T10:40:30+00:00,243606,Dawn Crystal,eu,6399900,7585,371
2026-08-11T18:46:38+00:00,243605,Dawn Crystal,eu,4104400,17181,627
2026-08-11T18:46:38+00:00,243606,Dawn Crystal,eu,6393900,6019,503
2026-08-12T10:49:51+00:00,243605,Dawn Crystal,eu,3729700,22227,939
2026-08-12T10:49:51+00:00,243606,Dawn Crystal,eu,6089200,7761,489
2026-08-12T18:47:34+00:00,243605,Dawn Crystal,eu,3220000,28264,1550
2026-08-12T18:47:34+00:00,243606,Dawn Crystal,eu,5549800,25846,1918
2026-08-13T10:50:58+00:00,243605,Dawn Crystal,eu,3300000,27314,1228
2026-08-13T10:50:58+00:00,243606,Dawn Crystal,eu,5070000,22246,2422
2026-08-13T18:48:20+00:00,243605,Dawn Crystal,eu,2519900,25268,1635
2026-08-13T18:48:20+00:00,243606,Dawn Crystal,eu,4929400,22532,2174
